"","strain","type_of_doe","plate","condition","p_h","glucose_g_l","ammonium_sulfate_g_l","phosphate_citrate_x","ynb_x","amino_acid_1_m_m","amino_acid_2_g_l","amino_acid_2_g_l_1","ethanol_g_l","mean_calc_OD60","residual_glucose"
"1","Strain A","Round_0_Definitive_screening_design","Plate 18",1,4.5,35,3,0.2,1.25,3.5,0.5,0,5,6.6266202925,21.03
"2","Strain A","Round_0_Definitive_screening_design","Plate 18",2,4.5,15,12,0.2,2,0.1,0.25,0.5,5,8.661970661,0.54
"3","Strain A","Round_0_Definitive_screening_design","Plate 18",3,4.5,15,3,1,2,0.1,0.5,0,2.5,7.967703027,0.31
"4","Strain A","Round_0_Definitive_screening_design","Plate 18",4,4.5,25,12,1,2,3.5,0,0,0,6.5986772355,9.42
"5","Strain A","Round_0_Definitive_screening_design","Plate 18",5,4.5,35,7.5,1,0.5,0.1,0.5,0.5,0,7.10425211775,20.27
"6","Strain A","Round_0_Definitive_screening_design","Plate 18",6,4.5,15,3,1,0.5,3.5,0,0.5,5,7.5205124095,1.46
"7","Strain A","Round_0_Definitive_screening_design","Plate 18",7,4.5,35,3,0.2,2,1.8,0,0.5,0,7.13953643825,16.48
"8","Strain A","Round_0_Definitive_screening_design","Plate 18",8,4.5,15,12,0.2,0.5,3.5,0.5,0.25,0,6.42453146075,2.9
"9","Strain A","Round_0_Definitive_screening_design","Plate 18",9,4.5,35,12,0.6,0.5,0.1,0,0,5,6.65821569225,19.31
"10","Strain A","Round_0_Definitive_screening_design","Plate 18",10,5.5,35,12,1,2,3.5,0.5,0.5,5,5.86610811225,18.36
"11","Strain A","Round_0_Definitive_screening_design","Plate 18",11,5.5,25,7.5,0.6,1.25,1.8,0.25,0.25,2.5,6.78088351325,10.05
"12","Strain A","Round_0_Definitive_screening_design","Plate 18",12,5.5,15,3,0.2,0.5,0.1,0,0,0,7.36160527025,0.53
"13","Strain A","Round_0_Definitive_screening_design","Plate 18",13,6.5,35,12,0.2,2,0.1,0.5,0,0,5.8069213585,22.1
"14","Strain A","Round_0_Definitive_screening_design","Plate 18",14,6.5,15,12,1,1.25,0.1,0,0.5,0,2.31279994325,11.03
"15","Strain A","Round_0_Definitive_screening_design","Plate 18",15,6.5,15,7.5,0.2,2,3.5,0,0,5,7.3836220015,1.28
"16","Strain A","Round_0_Definitive_screening_design","Plate 18",16,6.5,35,3,1,0.5,3.5,0.25,0,0,0.198060768,34.59
"17","Strain A","Round_0_Definitive_screening_design","Plate 18",17,6.5,35,3,1,2,0.1,0,0.25,5,4.98370209975,23.18
"18","Strain A","Round_0_Definitive_screening_design","Plate 18",18,6.5,15,12,1,0.5,1.8,0.5,0,5,0.57447023775,13.21
"19","Strain A","Round_0_Definitive_screening_design","Plate 18",19,6.5,35,12,0.2,0.5,3.5,0,0.5,2.5,3.63727037425,28.16
"20","Strain A","Round_0_Definitive_screening_design","Plate 18",20,6.5,25,3,0.2,0.5,0.1,0.5,0.5,5,6.87922591425,16.15
"21","Strain A","Round_0_Definitive_screening_design","Plate 18",21,6.5,15,3,0.6,2,3.5,0.5,0.5,0,6.55618944375,3.3
"22","Strain A","Round_0_Definitive_screening_design","Plate 18",22,5.5,15,3,1,0.5,0,0,0,0,5.76912175575,5.59
"23","Strain A","Round_0_Definitive_screening_design","Plate 18",23,4.5,15,3,1,0.5,0,0,0,0,8.618862625,1.48
"24","Strain A","Round_0_Definitive_screening_design","Plate 18",24,6.5,15,12,1,2,0,0.5,0.5,2.5,1.72684545725,12.87
"25","Strain A","Round_1_central_composite_design","Plate 20",1,4,35,3,1,0.75,3.5,0,0.1,5,7.5432,5.550721103
"26","Strain A","Round_1_central_composite_design","Plate 20",2,4,35,3,1,1.25,3.5,0,0.5,5,7.8324,2.795591575
"27","Strain A","Round_1_central_composite_design","Plate 20",3,5,15,3,1,1.25,3.5,0,0.5,5,6.4728,3.788275614
"28","Strain A","Round_1_central_composite_design","Plate 20",4,4,15,3,1,1.25,3.5,0,0.1,1,6.4788,1.881475053
"29","Strain A","Round_1_central_composite_design","Plate 20",5,5,15,3,1,1.25,3.5,0,0.5,1,6.4236,1.244971591
"30","Strain A","Round_1_central_composite_design","Plate 20",6,4,15,3,1,1.25,3.5,0,0.5,5,6.5498406914,4.542338969
"31","Strain A","Round_1_central_composite_design","Plate 20",7,5.25,25,3,1,1,3.5,0,0.3,3,7.6008,3.931809704
"32","Strain A","Round_1_central_composite_design","Plate 20",8,5,35,3,1,0.75,3.5,0,0.5,1,8.058,1.801792371
"33","Strain A","Round_1_central_composite_design","Plate 20",9,5,15,3,1,0.75,3.5,0,0.1,1,6.312,2.051823204
"34","Strain A","Round_1_central_composite_design","Plate 20",10,5,35,3,1,0.75,3.5,0,0.1,1,8.0268,2.934604505
"35","Strain A","Round_1_central_composite_design","Plate 20",11,5,35,3,1,0.75,3.5,0,0.5,5,7.7676,4.832252904
"36","Strain A","Round_1_central_composite_design","Plate 20",12,5,35,3,1,1.25,3.5,0,0.5,1,8.4324,3.340052501
"37","Strain A","Round_1_central_composite_design","Plate 20",13,4,35,3,1,1.25,3.5,0,0.5,1,8.4456,3.951382551
"38","Strain A","Round_1_central_composite_design","Plate 20",14,5,15,3,1,0.75,3.5,0,0.5,5,6.1344,5.163528812
"39","Strain A","Round_1_central_composite_design","Plate 20",15,5,35,3,1,1.25,3.5,0,0.1,1,8.0928,9.897106469
"40","Strain A","Round_1_central_composite_design","Plate 20",16,4,15,3,1,0.75,3.5,0,0.5,5,6.2508,2.260097931
"41","Strain A","Round_1_central_composite_design","Plate 20",17,4,35,3,1,0.75,3.5,0,0.5,5,7.7184,6.473240355
"42","Strain A","Round_1_central_composite_design","Plate 20",18,5,15,3,1,1.25,3.5,0,0.1,5,6.1982852838,3.372985405
"43","Strain A","Round_1_central_composite_design","Plate 20",19,4.5,10,3,1,1,3.5,0,0.3,3,6.0924,9.576472144
"44","Strain A","Round_1_central_composite_design","Plate 20",20,4,15,3,1,0.75,3.5,0,0.1,5,6.5424,5.49032632
"45","Strain A","Round_1_central_composite_design","Plate 20",21,5,35,3,1,1.25,3.5,0,0.5,5,8.1312,5.270282774
"46","Strain A","Round_1_central_composite_design","Plate 20",22,4.5,40,3,1,1,3.5,0,0.3,3,7.7676,5.065286464
"47","Strain A","Round_1_central_composite_design","Plate 20",23,4,15,3,1,0.75,3.5,0,0.1,1,6.414,2.770880587
"48","Strain A","Round_1_central_composite_design","Plate 20",24,5,15,3,1,0.75,3.5,0,0.1,5,6.312,2.304906042
"49","Strain A","Round_1_central_composite_design","Plate 21",25,4.5,25,3,1,0.625,3.5,0,0.3,3,6.834,1.37800128
"50","Strain A","Round_1_central_composite_design","Plate 21",26,5,35,3,1,0.75,3.5,0,0.1,5,7.4172,4.791018493
"51","Strain A","Round_1_central_composite_design","Plate 21",27,4.5,25,3,1,1,3.5,0,0.3,6,7.6668,1.765175555
"52","Strain A","Round_1_central_composite_design","Plate 21",28,4,15,3,1,1.25,3.5,0,0.1,5,6.3708,2.328252096
"53","Strain A","Round_1_central_composite_design","Plate 21",29,4,35,3,1,1.25,3.5,0,0.1,1,7.6092,4.10284637
"54","Strain A","Round_1_central_composite_design","Plate 21",30,4,35,3,1,0.75,3.5,0,0.5,1,7.7268,9.062406404
"55","Strain A","Round_1_central_composite_design","Plate 21",31,4.5,25,3,1,1,3.5,0,0.6,3,7.5804,3.848684009
"56","Strain A","Round_1_central_composite_design","Plate 21",32,4.5,25,3,1,1,3.5,0,0.3,0,7.854,3.755280401
"57","Strain A","Round_1_central_composite_design","Plate 21",33,5,35,3,1,1.25,3.5,0,0.1,5,8.0244,5.821977551
"58","Strain A","Round_1_central_composite_design","Plate 21",34,4.5,25,3,1,1,3.5,0,0.3,3,7.9068,2.943466526
"59","Strain A","Round_1_central_composite_design","Plate 21",35,4,35,3,1,0.75,3.5,0,0.1,1,7.8324,6.728472408
"60","Strain A","Round_1_central_composite_design","Plate 21",36,4.5,25,3,1,1.375,3.5,0,0.3,3,7.608,3.648775595
"61","Strain A","Round_1_central_composite_design","Plate 21",37,4.5,25,3,1,1,3.5,0,0.3,3,8.13,3.645049256
"62","Strain A","Round_1_central_composite_design","Plate 21",38,4,15,3,1,1.25,3.5,0,0.5,1,6.0552,5.575498462
"63","Strain A","Round_1_central_composite_design","Plate 21",39,5,15,3,1,0.75,3.5,0,0.5,1,6.3776,4.079064543
"64","Strain A","Round_1_central_composite_design","Plate 21",40,4,15,3,1,0.75,3.5,0,0.5,1,6.3456,3.651291494
"65","Strain A","Round_1_central_composite_design","Plate 21",41,4,35,3,1,1.25,3.5,0,0.1,5,7.4748,3.015350149
"66","Strain A","Round_1_central_composite_design","Plate 21",42,3.75,25,3,1,1,3.5,0,0.3,3,8.2404,4.170816406
"67","Strain A","Round_1_central_composite_design","Plate 21",43,5,15,3,1,1.25,3.5,0,0.1,1,6.4968,4.74902415
"68","Strain A","Round_1_central_composite_design","Plate 21",44,4.5,25,3,1,1,3.5,0,0,3,7.4076,2.039775076
"69","Strain A","Round_1_central_composite_design","Plate 21",45,4.5,15,3,1,0.5,3.5,0,0,0,5.0388,1.921617105
"70","Strain A","Round_1_central_composite_design","Plate 21",46,4.5,15,3,1,0.625,3.5,0,0,0,5.3304,2.637185644
"71","Strain A","Round_1_central_composite_design","Plate 21",47,4.5,15,3,1,1,3.5,0,0,0,5.8272,2.807917718
"72","Strain A","Round_1_central_composite_design","Plate 21",48,4.5,35,3,1,1.25,3.5,0,0.5,0,7.6356,4.899416938
"73","Strain A","Round_1_central_composite_design","Plate 24",1,4,35,3,1,0.75,3.5,0,0.1,5,6.484429048,-99
"74","Strain A","Round_1_central_composite_design","Plate 24",2,4,35,3,1,1.25,3.5,0,0.5,5,8.45571220325,-99
"75","Strain A","Round_1_central_composite_design","Plate 24",3,5,15,3,1,1.25,3.5,0,0.5,5,6.35408014825,-99
"76","Strain A","Round_1_central_composite_design","Plate 24",4,4,15,3,1,1.25,3.5,0,0.1,1,5.18621179275,-99
"77","Strain A","Round_1_central_composite_design","Plate 24",5,5,15,3,1,1.25,3.5,0,0.5,1,6.045647776,-99
"78","Strain A","Round_1_central_composite_design","Plate 24",6,4,15,3,1,1.25,3.5,0,0.5,5,7.630354571,-99
"79","Strain A","Round_1_central_composite_design","Plate 24",7,5.25,25,3,1,1,3.5,0,0.3,3,8.34397061075,-99
"80","Strain A","Round_1_central_composite_design","Plate 24",8,5,35,3,1,0.75,3.5,0,0.5,1,6.8711579435,-99
"81","Strain A","Round_1_central_composite_design","Plate 24",9,5,15,3,1,0.75,3.5,0,0.1,1,4.9467243745,-99
"82","Strain A","Round_1_central_composite_design","Plate 24",10,5,35,3,1,0.75,3.5,0,0.1,1,5.46407277225,-99
"83","Strain A","Round_1_central_composite_design","Plate 24",11,5,35,3,1,0.75,3.5,0,0.5,5,7.470631899,-99
"84","Strain A","Round_1_central_composite_design","Plate 24",12,5,35,3,1,1.25,3.5,0,0.5,1,6.7667869315,-99
"85","Strain A","Round_1_central_composite_design","Plate 24",13,4,35,3,1,1.25,3.5,0,0.5,1,5.5874868785,-99
"86","Strain A","Round_1_central_composite_design","Plate 24",14,5,15,3,1,0.75,3.5,0,0.5,5,6.64579828175,-99
"87","Strain A","Round_1_central_composite_design","Plate 24",15,5,35,3,1,1.25,3.5,0,0.1,1,5.87415888225,-99
"88","Strain A","Round_1_central_composite_design","Plate 24",16,4,15,3,1,0.75,3.5,0,0.5,5,7.750575232,-99
"89","Strain A","Round_1_central_composite_design","Plate 24",17,4,35,3,1,0.75,3.5,0,0.5,5,7.806028747,-99
"90","Strain A","Round_1_central_composite_design","Plate 24",18,5,15,3,1,1.25,3.5,0,0.1,5,6.67655897033333,-99
"91","Strain A","Round_1_central_composite_design","Plate 24",19,4.5,10,3,1,1,3.5,0,0.3,3,5.85547299375,-99
"92","Strain A","Round_1_central_composite_design","Plate 24",20,4,15,3,1,0.75,3.5,0,0.1,5,6.66624325875,-99
"93","Strain A","Round_1_central_composite_design","Plate 24",21,5,35,3,1,1.25,3.5,0,0.5,5,7.720381902,-99
"94","Strain A","Round_1_central_composite_design","Plate 24",22,4.5,40,3,1,1,3.5,0,0.3,3,7.16079012775,-99
"95","Strain A","Round_1_central_composite_design","Plate 24",23,4,15,3,1,0.75,3.5,0,0.1,1,4.63339889275,-99
"96","Strain A","Round_1_central_composite_design","Plate 24",24,5,15,3,1,0.75,3.5,0,0.1,5,6.33897136325,-99
"97","Strain A","Round_1_central_composite_design","Plate 25",25,4.5,25,3,1,0.625,3.5,0,0.3,3,6.509198324,-99
"98","Strain A","Round_1_central_composite_design","Plate 25",26,5,35,3,1,0.75,3.5,0,0.1,5,7.07519616,-99
"99","Strain A","Round_1_central_composite_design","Plate 25",27,4.5,25,3,1,1,3.5,0,0.3,6,7.5713404375,-99
"100","Strain A","Round_1_central_composite_design","Plate 25",28,4,15,3,1,1.25,3.5,0,0.1,5,7.627939275,-99
"101","Strain A","Round_1_central_composite_design","Plate 25",29,4,35,3,1,1.25,3.5,0,0.1,1,7.29913846425,-99
"102","Strain A","Round_1_central_composite_design","Plate 25",30,4,35,3,1,0.75,3.5,0,0.5,1,8.318485207,-99
"103","Strain A","Round_1_central_composite_design","Plate 25",31,4.5,25,3,1,1,3.5,0,0.6,3,7.72712913725,-99
"104","Strain A","Round_1_central_composite_design","Plate 25",32,4.5,25,3,1,1,3.5,0,0.3,0,6.96805578733333,-99
"105","Strain A","Round_1_central_composite_design","Plate 25",33,5,35,3,1,1.25,3.5,0,0.1,5,7.87525249275,-99
"106","Strain A","Round_1_central_composite_design","Plate 25",34,4.5,25,3,1,1,3.5,0,0.3,3,7.04476611525,-99
"107","Strain A","Round_1_central_composite_design","Plate 25",35,4,35,3,1,0.75,3.5,0,0.1,1,6.63725659325,-99
"108","Strain A","Round_1_central_composite_design","Plate 25",36,4.5,25,3,1,1.375,3.5,0,0.3,3,8.11202786375,-99
"109","Strain A","Round_1_central_composite_design","Plate 25",37,4.5,25,3,1,1,3.5,0,0.3,3,6.403214414,-99
"110","Strain A","Round_1_central_composite_design","Plate 25",38,4,15,3,1,1.25,3.5,0,0.5,1,8.219124086,-99
"111","Strain A","Round_1_central_composite_design","Plate 25",39,5,15,3,1,0.75,3.5,0,0.5,1,6.309379101,-99
"112","Strain A","Round_1_central_composite_design","Plate 25",40,4,15,3,1,0.75,3.5,0,0.5,1,7.1195999045,-99
"113","Strain A","Round_1_central_composite_design","Plate 25",41,4,35,3,1,1.25,3.5,0,0.1,5,8.64504443175,-99
"114","Strain A","Round_1_central_composite_design","Plate 25",42,3.75,25,3,1,1,3.5,0,0.3,3,7.3468841995,-99
"115","Strain A","Round_1_central_composite_design","Plate 25",43,5,15,3,1,1.25,3.5,0,0.1,1,5.56134745075,-99
"116","Strain A","Round_1_central_composite_design","Plate 25",44,4.5,25,3,1,1,3.5,0,0,3,6.70004669975,-99
"117","Strain A","Round_1_central_composite_design","Plate 25",45,4.5,15,3,1,0.5,3.5,0,0,0,3.42707359525,-99
"118","Strain A","Round_1_central_composite_design","Plate 25",46,4.5,15,3,1,0.625,3.5,0,0,0,5.80292231875,-99
"119","Strain A","Round_1_central_composite_design","Plate 25",47,4.5,15,3,1,1,3.5,0,0,0,6.00695230025,-99
"120","Strain A","Round_1_central_composite_design","Plate 25",48,4.5,35,3,1,1.25,3.5,0,0.5,0,8.63180752825,-99
"121","Strain B","Round_0_Definitive_screening_design","Plate 19",1,4.5,35,3,0.2,1.25,3.5,0.5,0,5,18.55953761,0
"122","Strain B","Round_0_Definitive_screening_design","Plate 19",2,4.5,15,12,0.2,2,0.1,0.25,0.5,5,11.3339908375,0
"123","Strain B","Round_0_Definitive_screening_design","Plate 19",3,4.5,15,3,1,2,0.1,0.5,0,2.5,10.85604386,0
"124","Strain B","Round_0_Definitive_screening_design","Plate 19",4,4.5,25,12,1,2,3.5,0,0,0,15.38635293,0
"125","Strain B","Round_0_Definitive_screening_design","Plate 19",5,4.5,35,7.5,1,0.5,0.1,0.5,0.5,0,13.7857277425,4.82
"126","Strain B","Round_0_Definitive_screening_design","Plate 19",6,4.5,15,3,1,0.5,3.5,0,0.5,5,9.929988013,0
"127","Strain B","Round_0_Definitive_screening_design","Plate 19",7,4.5,35,3,0.2,2,1.8,0,0.5,0,24.2941849175,0
"128","Strain B","Round_0_Definitive_screening_design","Plate 19",8,4.5,15,12,0.2,0.5,3.5,0.5,0.25,0,10.9746103325,0
"129","Strain B","Round_0_Definitive_screening_design","Plate 19",9,4.5,35,12,0.6,0.5,0.1,0,0,5,14.596559055,1
"130","Strain B","Round_0_Definitive_screening_design","Plate 19",10,5.5,35,12,1,2,3.5,0.5,0.5,5,20.2714752725,0
"131","Strain B","Round_0_Definitive_screening_design","Plate 19",11,5.5,25,7.5,0.6,1.25,1.8,0.25,0.25,2.5,19.388583975,0
"132","Strain B","Round_0_Definitive_screening_design","Plate 19",12,5.5,15,3,0.2,0.5,0.1,0,0,0,10.9502564075,0
"133","Strain B","Round_0_Definitive_screening_design","Plate 19",13,6.5,35,12,0.2,2,0.1,0.5,0,0,23.5237588925,0
"134","Strain B","Round_0_Definitive_screening_design","Plate 19",14,6.5,15,12,1,1.25,0.1,0,0.5,0,9.60252980375,0
"135","Strain B","Round_0_Definitive_screening_design","Plate 19",15,6.5,15,7.5,0.2,2,3.5,0,0,5,11.228390835,0
"136","Strain B","Round_0_Definitive_screening_design","Plate 19",16,6.5,35,3,1,0.5,3.5,0.25,0,0,1.250113324,29.89
"137","Strain B","Round_0_Definitive_screening_design","Plate 19",17,6.5,35,3,1,2,0.1,0,0.25,5,11.64655944375,16.66
"138","Strain B","Round_0_Definitive_screening_design","Plate 19",18,6.5,15,12,1,0.5,1.8,0.5,0,5,4.9424193035,6.2
"139","Strain B","Round_0_Definitive_screening_design","Plate 19",19,6.5,35,12,0.2,0.5,3.5,0,0.5,2.5,16.7359076375,1.88
"140","Strain B","Round_0_Definitive_screening_design","Plate 19",20,6.5,25,3,0.2,0.5,0.1,0.5,0.5,5,18.0565423925,0
"141","Strain B","Round_0_Definitive_screening_design","Plate 19",21,6.5,15,3,0.6,2,3.5,0.5,0.5,0,12.9861876975,0
"142","Strain B","Round_0_Definitive_screening_design","Plate 19",22,5.5,15,3,1,0.5,0,0,0,0,9.38709520125,0
"143","Strain B","Round_0_Definitive_screening_design","Plate 19",23,4.5,15,3,1,0.5,0,0,0,0,10.9216650175,0
"144","Strain B","Round_0_Definitive_screening_design","Plate 19",24,6.5,15,12,1,2,0,0.5,0.5,2.5,9.776133282,0
